blueOpacity,orangeOpacity,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialFix.started,trialFix.stopped,trialResp.keys,trialResp.corr,trialResp.started,trialResp.stopped,trialResp.rt,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,space,0,9,9,9,,,,,,,63.25583070004359,None,63.25583070004359,None,62.25894720014185,63.27118130004965,space,1,62.25894720014185,None,1.667617800179869,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,10,10,10,,,,,,,64.954439900117,65.95400310005061,64.954439900117,65.95400310005061,63.95735840010457,64.9708501000423,None,1,63.95735840010457,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,11,11,11,,,,,,,66.95419010007754,67.95366320014,66.95419010007754,67.95366320014,65.97149870009162,66.97053849999793,None,1,65.97149870009162,65.97149870009162,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,12,12,12,,,,,,,68.97032080008648,69.96959210000932,68.97032080008648,69.96959210000932,67.98748880019411,68.9868102001492,None,1,67.98748880019411,67.98748880019411,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,13,13,13,,,,,,,70.98596650012769,71.98602299997583,70.98596650012769,71.98602299997583,70.00424579996616,71.01910859998316,None,1,70.00424579996616,70.00424579996616,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,14,14,14,,,,,,,73.0022331001237,74.00212429999374,73.0022331001237,74.00212429999374,72.01990590011701,73.03611650015227,None,1,72.01990590011701,72.01990590011701,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,15,15,15,,,,,,,75.01847510016523,None,75.01847510016523,None,74.03671050001867,75.05161610012874,space,1,74.03671050001867,74.03671050001867,1.449755399953574,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,16,16,16,,,,,,,76.5014587000478,77.50104870018549,76.5014587000478,77.50104870018549,75.50529600004666,76.51835240004584,None,1,75.50529600004666,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,17,17,17,,,,,,,78.50086849997751,None,78.50086849997751,None,77.51912830001675,78.53464150009677,space,1,77.51912830001675,77.51912830001675,1.4156617000699043,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,18,18,18,,,,,,,79.9507023000624,80.95031220000237,79.9507023000624,80.95031220000237,78.95598080009222,79.96737110009417,None,1,78.95598080009222,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,19,19,19,,,,,,,81.95002190000378,None,81.95002190000378,None,80.96792019996792,81.98349470016547,space,1,80.96792019996792,80.96792019996792,1.3905648000072688,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,20,20,20,,,,,,,83.38299810001627,None,83.38299810001627,None,82.38809210015461,83.39979920000769,space,1,82.38809210015461,None,1.5463416001293808,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,21,21,21,,,,,,,84.94911910011433,85.94907420012169,84.94911910011433,85.94907420012169,83.95308660017326,84.96617040014826,None,1,83.95308660017326,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,22,22,22,,,,,,,86.94883300014772,87.94854180002585,86.94883300014772,87.94854180002585,85.9672067000065,86.98209409997799,None,1,85.9672067000065,85.9672067000065,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,23,23,23,,,,,,,88.96497590001673,89.96460100007243,88.96497590001673,89.96460100007243,87.98346360004507,88.99823180004023,None,1,87.98346360004507,87.98346360004507,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,24,24,24,,,,,,,90.98118170001544,91.98115680017509,90.98118170001544,91.98115680017509,89.99910840019584,91.01467430009507,space,1,89.99910840019584,89.99910840019584,1.9754495001398027,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,25,25,25,,,,,,,92.99739560019225,93.99694230011664,92.99739560019225,93.99694230011664,92.00139069999568,93.01383320009336,None,1,92.00139069999568,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,26,26,26,,,,,,,94.99656530003995,95.99649310018867,94.99656530003995,95.99649310018867,94.0150752000045,95.03033660002984,None,1,94.0150752000045,94.0150752000045,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,27,27,27,,,,,,,97.01307380013168,98.01265020016581,97.01307380013168,98.01265020016581,96.03133810008876,97.04636490019038,None,1,96.03133810008876,96.03133810008876,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,28,28,28,,,,,,,99.0291008001659,100.02888060011901,99.0291008001659,100.02888060011901,98.04757320019417,99.06255530007184,None,0,98.04757320019417,98.04757320019417,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
1,0,space,0,29,29,29,,,,,,,101.045404399978,None,101.045404399978,None,100.0632669001352,101.0786606001202,space,1,100.0632669001352,100.0632669001352,1.9192393000703305,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
0,1,None,0,30,30,30,,,,,,,103.0114006001968,104.0111051001586,103.0114006001968,104.0111051001586,102.01452860003337,103.02829549997114,None,1,102.01452860003337,None,,,,a,001,2020_Jun_10_1559,goNogoTest,2020.1.3,60.05342354087127,
